Sample_Name	HABITAT	Region	AllBM_Order	AllBM_Genus	AllBM_Family	Type
32	Pasture	Capira	Rodentia	Mus	Muridae	Mammal
33	Pasture	Capira	Rodentia	Mus	Muridae	Mammal
34	Pasture	Capira	Rodentia	Mus	Muridae	Mammal
38	Pasture	Capira	Rodentia	Mus	Muridae	Mammal
40	Pasture	Capira	Rodentia	Mus	Muridae	Mammal
47	Pasture	Capira	Rodentia	Mus	Muridae	Mammal
50	Pasture	Capira	Rodentia	Mus	Muridae	Mammal
51	Pasture	Capira	Rodentia	Mus	Muridae	Mammal
54	Pasture	Capira	Rodentia	Mus	Muridae	Mammal
59	Pasture	Capira	Rodentia	Mus	Muridae	Mammal
63	Pasture	Capira	Rodentia	Mus	Muridae	Mammal
66	Pasture	Capira	Rodentia	Mus	Muridae	Mammal
71	Pasture	Capira	Rodentia	Mus	Muridae	Mammal
174	Pasture	La Chorrera	Rodentia	Mus	Muridae	Mammal
175	Pasture	La Chorrera	Rodentia	Mus	Muridae	Mammal
176	Pasture	La Chorrera	Rodentia	Mus	Muridae	Mammal
177	Pasture	La Chorrera	Rodentia	Mus	Muridae	Mammal
182	Pasture	La Chorrera	Rodentia	Mus	Muridae	Mammal
81	Peridomestic	La Chorrera	Rodentia	Mus	Muridae	Mammal
82	Peridomestic	La Chorrera	Rodentia	Mus	Muridae	Mammal
83	Peridomestic	La Chorrera	Rodentia	Mus	Muridae	Mammal
87	Peridomestic	La Chorrera	Rodentia	Mus	Muridae	Mammal
88	Peridomestic	La Chorrera	Rodentia	Mus	Muridae	Mammal
95	Peridomestic	La Chorrera	Rodentia	Mus	Muridae	Mammal
112	Peridomestic	La Chorrera	Rodentia	Mus	Muridae	Mammal
412	Forest	Veraguas	Rodentia	Mus	Muridae	Mammal
7	Pasture	La Chorrera	Rodentia	Mus	Muridae	Mammal
11	Pasture	La Chorrera	Rodentia	Mus	Muridae	Mammal
25	Pasture	Capira	Rodentia	Mus	Muridae	Mammal
27	Pasture	Capira	Rodentia	Mus	Muridae	Mammal
28	Pasture	Capira	Rodentia	Mus	Muridae	Mammal
30	Pasture	Capira	Rodentia	Mus	Muridae	Mammal
36	Pasture	Capira	Rodentia	Mus	Muridae	Mammal
37	Pasture	Capira	Rodentia	Mus	Muridae	Mammal
57	Pasture	Capira	Rodentia	Mus	Muridae	Mammal
61	Pasture	Capira	Rodentia	Mus	Muridae	Mammal
64	Pasture	Capira	Rodentia	Mus	Muridae	Mammal
